"H",1,-1,1.54,1540
"Li",3,1,0.68,680
"Be",4,1,0.44,440
"Be",4,2,0.35,350
"B",5,1,0.35,350
"B",5,3,0.23,230
"C",6,-4,2.6,2600
"C",6,4,0.16,160
"N",7,-3,1.71,1710
"N",7,1,0.25,250
"N",7,3,0.16,160
"N",7,5,0.13,130
"O",8,-2,1.32,1320
"O",8,-1,1.76,1760
"O",8,1,0.22,220
"O",8,6,0.09,90
"F",9,-1,1.33,1330
"F",9,7,0.08,80
"Ne",10,1,1.12,1120
"Na",11,1,0.97,970
"Mg",12,1,0.82,820
"Mg",12,2,0.66,660
"Al",13,3,0.51,510
"Si",14,-4,2.71,2710
"Si",14,-1,3.84,3840
"Si",14,1,0.65,650
"Si",14,4,0.42,420
"P",15,-3,2.12,2120
"P",15,3,0.44,440
"P",15,5,0.35,350
"S",16,-2,1.84,1840
"S",16,2,2.19,2190
"S",16,4,0.37,370
"S",16,6,0.3,300
"Cl",17,-1,1.81,1810
"Cl",17,5,0.34,340
"Cl",17,7,0.27,270
"Ar",18,1,1.54,1540
"K",19,1,1.33,1330
"Ca",20,1,1.18,1180
"Ca",20,2,0.99,990
"Sc",21,3,0.732,732
"Ti",22,1,0.96,960
"Ti",22,2,0.94,940
"Ti",22,3,0.76,760
"Ti",22,4,0.68,680
"V",23,2,0.88,880
"V",23,3,0.74,740
"V",23,4,0.63,630
"V",23,5,0.59,590
"Cr",24,1,0.81,810
"Cr",24,2,0.89,890
"Cr",24,3,0.63,630
"Cr",24,6,0.52,520
"Mn",25,2,0.8,800
"Mn",25,3,0.66,660
"Mn",25,4,0.6,600
"Mn",25,7,0.46,460
"Fe",26,2,0.74,740
"Fe",26,3,0.64,640
"Co",27,2,0.72,720
"Co",27,3,0.63,630
"Ni",28,2,0.69,690
"Cu",29,1,0.96,960
"Cu",29,2,0.72,720
"Zn",30,1,0.88,880
"Zn",30,2,0.74,740
"Ga",31,1,0.81,810
"Ga",31,3,0.62,620
"Ge",32,-4,2.72,2720
"Ge",32,2,0.73,730
"Ge",32,4,0.53,530
"As",33,-3,2.22,2220
"As",33,3,0.58,580
"As",33,5,0.46,460
"Se",34,-2,1.91,1910
"Se",34,-1,2.32,2320
"Se",34,1,0.66,660
"Se",34,4,0.5,500
"Se",34,6,0.42,420
"Br",35,-1,1.96,1960
"Br",35,5,0.47,470
"Br",35,7,0.39,390
"Rb",37,1,1.47,1470
"Sr",38,2,1.12,1120
"Y",39,3,0.893,893
"Zr",40,1,1.09,1090
"Zr",40,4,0.79,790
"Nb",41,1,1,1000
"Nb",41,4,0.74,740
"Nb",41,5,0.69,690
"Mo",42,1,0.93,930
"Mo",42,4,0.7,700
"Mo",42,6,0.62,620
"Tc",43,7,0.979,979
"Ru",44,4,0.67,670
"Rh",45,3,0.68,680
"Pd",46,2,0.8,800
"Pd",46,4,0.65,650
"Ag",47,1,1.26,1260
"Ag",47,2,0.89,890
"Cd",48,1,1.14,1140
"Cd",48,2,0.97,970
"In",49,3,0.81,810
"Sn",50,-4,2.94,2940
"Sn",50,-1,3.7,3700
"Sn",50,2,0.93,930
"Sn",50,4,0.71,710
"Sb",51,-3,2.45,2450
"Sb",51,3,0.76,760
"Sb",51,5,0.62,620
"Te",52,-2,2.11,2110
"Te",52,-1,2.5,2500
"Te",52,1,0.82,820
"Te",52,4,0.7,700
"Te",52,6,0.56,560
"I",53,-1,2.2,2200
"I",53,5,0.62,620
"I",53,7,0.5,500
"Cs",55,1,1.67,1670
"Ba",56,1,1.53,1530
"Ba",56,2,1.34,1340
"La",57,1,1.39,1390
"La",57,3,1.016,1016
"Ce",58,1,1.27,1270
"Ce",58,3,1.034,1034
"Ce",58,4,0.92,920
"Pr",59,3,1.013,1013
"Pr",59,4,0.9,900
"Nd",60,3,0.995,995
"Pm",61,3,0.979,979
"Sm",62,3,0.964,964
"Eu",63,2,1.09,1090
"Eu",63,3,0.95,950
"Gd",64,3,0.938,938
"Tb",65,3,0.923,923
"Tb",65,4,0.84,840
"Dy",66,3,0.908,908
"Ho",67,3,0.894,894
"Er",68,3,0.881,881
"Tm",69,3,0.87,870
"Yb",70,2,0.93,930
"Yb",70,3,0.858,858
"Lu",71,3,0.85,850
"Hf",72,4,0.78,780
"Ta",73,5,0.68,680
"W",74,4,0.7,700
"W",74,6,0.62,620
"Re",75,4,0.72,720
"Re",75,7,0.56,560
"Os",76,4,0.88,880
"Os",76,6,0.69,690
"Ir",77,4,0.68,680
"Pt",78,2,0.8,800
"Pt",78,4,0.65,650
"Au",79,1,1.37,1370
"Au",79,3,0.85,850
"Hg",80,1,1.27,1270
"Hg",80,2,1.1,1100
"Tl",81,1,1.47,1470
"Tl",81,3,0.95,950
"Pb",82,2,1.2,1200
"Pb",82,4,0.84,840
"Bi",83,1,0.98,980
"Bi",83,3,0.96,960
"Bi",83,5,0.74,740
"Po",84,6,0.67,670
"At",85,7,0.62,620
"Fr",87,1,1.8,1800
"Ra a",88,2,1.43,1430
"Ac",89,3,1.18,1180
"Th",90,4,1.02,1020
"Pa",91,3,1.13,1130
"Pa",91,4,0.98,980
"Pa",91,5,0.89,890
"U",92,4,0.97,970
"U",92,6,0.8,800
"Np",93,3,1.1,1100
"Np",93,4,0.95,950
"Np",93,7,0.71,710
"Pu",94,3,1.08,1080
"Pu",94,4,0.93,930
"Am",95,3,1.07,1070
"Am",95,4,0.92,920
